dataset,test_acc_at_best_val
ArticularyWordRecognition,97.33
AsphaltObstaclesCoordinates,55.75
AsphaltPavementTypeCoordinates,67.05
AsphaltRegularityCoordinates,80.56
ArticularyWordRecognition,96.33
BasicMotions,95.00
Blink,90.22
CharacterTrajectories,98.26
Cricket,84.72
EMOPain,84.23
ERing,89.63
EthanolConcentration,34.98
EyesOpenShut,50.00
FaceDetection,65.30
DuckDuckGeese,58.00
JapaneseVowels,98.38
MotionSenseHAR,93.58
RacketSports,83.55
SelfRegulationSCP1,84.30
Handwriting,19.18
Epilepsy,67.39
FingerMovements,47.00
HandMovementDirection,39.19
Heartbeat,73.66
Libras,83.33
LSST,52.60
MindReading,23.12
NATOPS,91.67
PEMS-SF,85.55
PenDigits,96.91
PhonemeSpectra,9.22
SelfRegulationSCP2,50.56
SpokenArabicDigits,97.95
UWaveGestureLibrary,85.00
AtrialFibrillation,26.67
StandWalkJump,33.33
