Dataset,Experiment,Training Time (s),Best Val Acc,Test Acc at Best Val
AsphaltObstaclesCoordinates,001,74.80566787719727,0.5897435897435898,0.49104859335038364
AsphaltPavementTypeCoordinates,001,190.56241583824158,0.6966824644549763,0.665719696969697
AsphaltRegularityCoordinates,001,123.0877137184143,0.8278145695364238,0.8175765645805593
ArticularyWordRecognition,001,81.19673299789429,0.9818181818181818,0.9466666666666667
BasicMotions,001,44.15632247924805,0.625,0.475
Blink,001,111.62437438964844,0.46,0.5555555555555556
CharacterTrajectories,001,173.1041522026062,0.9964912280701754,0.9818941504178273
EyesOpenShut,001,45.675968408584595,0.5,0.5
FaceDetection,001,544.1477789878845,0.7606112054329371,0.6756526674233825
DuckDuckGeese,001,105.46951413154602,0.2,0.2
JapaneseVowels,001,66.28458404541016,0.9259259259259259,0.9486486486486486
MotionSenseHAR,001,408.5157504081726,0.9278350515463918,0.9433962264150944
RacketSports,001,55.32327437400818,0.7741935483870968,0.7631578947368421
SelfRegulationSCP1,001,120.9926609992981,0.8703703703703703,0.8737201365187713
Handwriting,001,102.31788563728333,0.26666666666666666,0.12117647058823529
EyesOpenShut,001,39.27248454093933,0.5,0.5
FaceDetection,001,540.0796196460724,0.7606112054329371,0.6756526674233825
DuckDuckGeese,001,98.91253137588501,0.2,0.2
JapaneseVowels,001,62.43495273590088,0.9259259259259259,0.9486486486486486
MotionSenseHAR,001,405.11787724494934,0.9278350515463918,0.9433962264150944
RacketSports,001,49.514833211898804,0.7741935483870968,0.7631578947368421
SelfRegulationSCP1,001,118.09320855140686,0.8703703703703703,0.8737201365187713
Handwriting,001,68.39324522018433,0.26666666666666666,0.12117647058823529
Epilepsy,001,54.05951690673828,0.6428571428571429,0.6811594202898551
FingerMovements,001,62.2267210483551,0.5625,0.62
HandMovementDirection,001,60.04780292510986,0.46875,0.43243243243243246
Heartbeat,001,76.3654158115387,0.7317073170731707,0.7463414634146341
Libras,001,66.93331813812256,0.1388888888888889,0.12777777777777777
LSST,001,227.2400767803192,0.5487804878048781,0.5628548256285483
MindReading,001,165.7316873073578,0.2465753424657534,0.23124042879019907
NATOPS,001,64.5694830417633,0.9444444444444444,0.8666666666666667
PEMS-SF,001,174.60759377479553,0.14814814814814814,0.12716763005780346
PenDigits,001,561.8774764537811,0.9966644429619747,0.9774156660949114
PhonemeSpectra,001,421.5134017467499,0.0693815987933635,0.0629287205487623
SelfRegulationSCP2,001,134.3869068622589,0.525,0.5277777777777778
SpokenArabicDigits,001,577.1382269859314,0.9939393939393939,0.9736243747157799
UWaveGestureLibrary,001,60.737131118774414,0.9583333333333334,0.78125
Cricket,001,53.854318141937256,0.8636363636363636,0.7638888888888888
EMOPain,001,78.71567249298096,0.8092783505154639,0.7915492957746478
ERing,001,25.53406548500061,1.0,0.8407407407407408
EthanolConcentration,001,162.7823474407196,0.2830188679245283,0.2509505703422053
AtrialFibrillation,001,22.852345943450928,0.6666666666666666,0.13333333333333333
StandWalkJump,001,33.72433304786682,0.3333333333333333,0.3333333333333333
